sentence,translation
你去哪里？,Where are you going?
请问哪里有洗手间？,Could you tell me where the nearest bathroom is?
他是哪里人？」「他籍贯饶平。,"""Where is his origin?"" """"He is from Rao-ping."""
去哪里都可以。,I'm fine with going anywhere.
哪里都有我的朋友。,I have friends everywhere.
他哪里像个学生。,He is nothing like a student!
甲：你真漂亮！乙：哪里，哪里，一般般！,A: You are so beautiful! B: I'm flattered! [lit. Not so much]
内容通俗。,The content is accessible to the public.
接下来我把具体的内容发给大家。,"Next, I will send you the specific content."
那个是什么？,What is that?
他心里那个高兴啊就别提了。,His happiness is beyond words.
我对他有点那个了。,(I am starting to suspect that) I have a crush on him.
你不会把她那个了吧！,Don't tell me you did that thing to her! [i.e. had sex with her]
小朋友，真是博士的话，中文表达能力这样可真就有点那个了！,"Mate, for someone with a PhD degree, your ability to express yourself in Chinese is not so flattering at all."
那个……那个……你刚那个说什么来着？,Umm... umm... sorry what were you saying just then?
哪个国家好移民？,Which country is easy to immigrate to?
这么近，那么美，周末到河北！,"So close, so beautiful, go to Hebei for the weekend!"
珍惜那些惦记你的人。,Cherish those who are concerned about you.
那样儿也挺好的。,That manner is quite good.
她希望能够在学术史上留名。,She hopes to be able to make a name for herself in the history of scholarship.
你读几年级？,What grade are you in?
我读九年级。,I'm in ninth grade [in the North American system].
他的年纪已经不小了。,He's not a young person anymore.
资质愚笨的人应加倍努力，方可获致成功。,People who are naturally clumsy should redouble their efforts in order to achieve success.
她站在水池旁边，正要往里跳。,"She was standing by a pool, about to dive in."
住在菜市场旁边吵死了。,It's very noisy living next to the food market.
看过这封信的人，都认为不仅批评的内容是不正确的，批评的口气也是很错误的。,
请来两杯啤酒。,"Two beers, please."
快点起床！,"Come on, get up!"
周末就不要叫我起床了，妈妈。,"Don't wake me up on weekends, mum."
请问，您是哪位？,"Excuse me, may I ask who you are?"
村民全体去首都抗议新法令。,The villagers went en masse to the capital to protest the new regulation.
看来这个问题我们确实需要好好反思一下。,It seems that we really need to reflect on this issue.
你们应该认真地思考这个问题。,You should all think about this issue seriously.
不要对任何人期望太高。,Don't expect too much from anyone.
你对任何药物过敏吗？,Are you allergic to any medications?
你们可以随时打断我，你们可以提任何的问题。,You can interrupt me at any time and ask any question you like.
任何事情都要讲究证据。,In all matters one must pay attention to the evidence.
今天是一个值得纪念的日子。,Today is a day worth commemorating.
过些日子我们再见。,We will see each other again after quite some time.
我一定会好起来的。,I will get better.
付出一定会有回报。,You will surely be rewarded if you put in some effort.
我七点半去学校，八点上课。,"At 7:30 I go to school, and at 8 I attend class."
这个旅店不是很卫生。,This hotel is not very hygienic.
这个建议会耗去大量的人力和财力。,This proposal will consume a lot of manpower and financial resources.
实施农业机械化，可以节省很多人力。,
一半尽人力，一半听天命罢了。,
上午我来的时候，你恰巧不在。,You happened to be out when I came in the morning.
老师给大家讲了一上午的进化论。,The teacher talked to everyone about the theory of evolution all morning.
海上风大，保重身体。,It can get windy on the ocean. Look after your health.
您家人身体都好吗？,Is everyone in your family well?
他的儿子在一所私立学校就学。,His son studies in a private school.
去学校怎样行？,How can I go to the school?
早期电影没有声音。,"In the early days, films were silent."
这是什么？,What is this?
你平时喜欢做什么？,What do you like doing in your spare time?
你想吃点什么吗？,Would you like something to eat?
我什么都不知道。,I don't know anything
我什么也不怕。,I'm not afraid of anything.
他可以想做什么就做什么。,He can do whatever he wants.
干的是什么事儿！,What a thing to do!
到时候再决定吧。,We'll decide later.
时候不早了，赶快睡觉吧！,It's getting late. Get to bed!
这个时候该怎么办呢？,What do I do at this moment?
你知道现在是什么时候了吗？,Do you know what time is it now?
这不是一朝一夕就能实现的。,It's not something that can be achieved overnight.
此票不能使用。,Ticket invalid.
请勿使用手机。,Please keep your mobile phone switched off.
遇有火灾请勿使用电梯。,Do not use elevator in case of fire.
啥物代志？,What's the matter?
代志大条矣。,We've got big trouble.
帮我把这条草鱼收拾了吧。,
底事登临好时节，等闲收拾许多愁。,
我身体不太舒服。,I'm not feeling very well.
他的技术水平绝对不在专家之下。,His technical skill is definitely not inferior to that of a specialist.
早点睡觉，好吗？,"Sleep earlier, okay?"
睡你的觉去！,Go to bed!
不早了，赶快睡觉吧。,It's getting late. Get to bed.
这说明什么？,What does this show?
我打算利用这个时间好好梳理一下自己的思想，思考一些问题。,I plan to use this time to sort out my thoughts and think about some problems.
他是这一学派思想的集大成者。,He epitomized the thought of this school.
虽然我没有车，但是我需要学习如何开车。,"Although I don't have a car, I need to learn how to drive."
豆汁虽然难喝，但是它有具有养胃、解毒、清火的功效。,"Although douzhi is difficult to drink, it can nourish the stomach, and relieve internal heat and inflammation."
我不懂所有这些是什么目的。,I don't get the point of all this.
所有的希望都破灭了。,All hope was lost.
白脱油已经全部卖脱了，只好转回去了。,"The butter is already all sold out, we have to go back."
新年愉快！,Happy New Year!
交谈很愉快。,It was a pleasant conversation.
你可以参与他们的讨论。,You can join in their discussion.
体育以坚持为重。,Physical education is all about persistence.
我给我老婆一个飞吻。,I blew a kiss to my wife. (lit. I gave my wife a blow kiss.)
注意防火。,Caution — fire hazard.
注意脚下。,Mind your step.
我完全没有注意她。,I didn't notice her at all.
公务员考试当天应该注意哪些要点？,What points should be paid attention to on the day of the civil service examination?
他跑完了马拉松，真是了不起！,He finished the marathon - how extraordinary was that!
他的生活很不规则。,His life is very irregular.
请遵守场内秩序。,Please keep order.
注意不利气象条件。,Drive carefully in adverse weather conditions.
早点休息。,Go to bed early.
他休息了一会儿。,He rested for a while.
你工作太勤奋了。休息一会吧。,You're working too hard. Take a break for a while.
本店是日休息一天，敬请见谅。,Our shop will be closed for today. We apologize for the inconvenience caused.
我中毒了！,I've been poisoned!
期待您的回复！,Look forward to your reply!
我对它充满期待。,I am looking forward to it.
敬请期待。,Please stay tuned.
文园近日真消渴，莫种莲根引恨长。,
莲根抱溪石，莲子生石壁。,
兰心守死心不改，莲根折断丝犹牵。,
论到从起初原有的生命之道，就是我们所听见、所看见、亲眼看过、亲手摸过的。,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life"
应该废除死刑吗？,Should the death penalty be abolished?
我听说他结婚了。,I've heard that he's got married.
老师给我们报听写。,Our teacher gave us dictation.
这样的赞助在董事会上是很难通过的。,Sponsorship like this would be difficult to pass at the board of directors.
你认为无神论者和有神论者的本质区别是什么？,What do you think the essential difference is between atheists and theists?
他的父亲是激烈的无神论者，母亲是虔诚的天主教徒。,"His father is a fierce atheist, while his mother is a devout Catholic."
工厂里又死人啦。,Another person has died in the factory.
这样做会死人的。,Someone might die if you do it this way.
这东西吃了又不会死人，怕什么。,What are you afraid of? Eating this stuff won't kill you.
这帮小孩真能气死人。,This group of kids is truly a headache.
儿子整天琢磨怎么追到女朋友，心思根本不在学习上，真愁死人了。,My son is thinking about ways to pursue a girlfriend all day; his mind is just not on studying at all. It's worrying me to death.
这个单词很正式。,This word is very formal.
中国人发明了指南针、火药、造纸和印刷术，这些被称为中国四大发明。,"The Chinese invented the compass, gunpowder, papermaking and printing. They are known as the Four Great Chinese Inventions."
崇一于此等处见得当已分晓，今日之问，正为发明此学，于同志中极有益。,"I believe you, Ch’ung-i, have understood these points clearly. Your question today is precisely for the purpose of elucidating this learning and is extremely beneficial to fellow students."
乃撰《搜神记》二十卷，以「发明神道之不诬」（自序中语），见《晋书》本传。,He (Kan Pao) compiled his Records of Spirits in twenty books to prove the existence of supernatural beings. All this is related in his biography in the Tsin Dynasty History.
老师，有人赖皮！,
淋病谎话连篇拒绝动用土地收回条例向四大地产商开刀！,Lam disease spoke lie after lie and refused to use the Lands Resumption Ordinance to confiscate land from the big four property developers!
他们都是举世公认的法学大师。,They are all recognized as global masters of law.
这是一个看脸的时代。,This is a face-judging era.
我们一定要紧紧地跟上这个时代的步伐。,We must keep up with the pace of this era.
圣诞节快乐！,Merry Christmas!
我要去北大听讲座。,I want to go to Peking University to attend a lecture.
这位书生胆子很大，总是想见见鬼的样子，却都没见到。,"There was a [very brave] scholar, who had always wanted to see a ghost but never had."
在这个问题上，专家学者们各持己见。,Experts and scholars have disagreeing views on this issue.
你两个一人少句啦！,"You two, stop quarrelling! (literally, “You two, each speak a sentence less!”)"
她读完这本书后发表了一些感想。,She shared some impressions after reading the book.
这人真霸道，一点儿道理也不讲。,This person is overbearing and refuses to talk any sense.
这个我多半同意。,I agree with most of this.
我绝不同意。,Under no circumstances will I agree.
乐得与二三同志，酒余饭饱，雨夕灯窗之下，同消寂寞。,
同志，请问去人民广场怎么走？,"Hello, comrade. Could you please tell me how to get to the People's Square?"
语言学教研室王洪君同志编制了普通话音序索引。,Comrade Wang Hongjun of the Linguistics Teaching and Research Section compiled the Putonghua alphabetical index.
在民主社会中，是不容许寡头垄断政经市场的。,"In a democratic society, oligopoly in the political and economic markets is not allowed."
在分配问题上，我们必须兼顾国家利益、集体利益和个人利益。,"On the question of distribution, we must take the interests of the state, the collective and the individual into account."
把焦点放在…………,to put the focus on...
你挪用公款来吃喝玩乐，无异是杀鸡取卵，终将自食恶果。,
太阳从地平线上升起。,The sun rises above the horizon.
不要瞎掰好吗？,"Stop talking nonsense, OK?"
党的十一届三中全会开启了改革开放历史新时期。,The 3rd plenary session of the 11th Central Committee of the CPC ushered in a historic new era of reform and opening up.
那位女明星扭捏地走过舞台。,The female star minced onto the stage.
改革开放以后，中国产品逐渐走向了世界。,"After China's reform and opening up to the world, its products have received global recognition."
我觉得英文的字幕有点分散我的注意力。,I find English subtitles a little distracting.
这个伪君子也教不出什么好学生来。,This hypocrite as a teacher couldn't produce any good students.
芝麻仁没有一个是蘑菇（无辜）的！,No single Chinaman is innocent! (A meme modified from a line from My Date with a Vampire)
她德语说得地道。,She speaks fluent German.
你会说印地语吗？,Can you speak Hindi?
我的印度朋友说印地语。,My Indian friend speaks Hindi.
这儿一个路灯都没有，亏得我雀盲眼不算厉害，没摔着什么伍的。,"There wasn't a single streetlamp here. Thankfully my night blindness isn't serious, so I didn't fall or anything."
厕所堵了。,The toilet is clogged.
厕所在哪儿？,Where is the toilet?
厕所里有人。,The toilet is occupied.
你靠什么吃饭？,What do you do for a living?
昨天的野餐取消了，因为从早上开始就一直在下雨。,Yesterday's picnic was cancelled because it had been raining since morning.
高义，你他妈杂碎！,"Ko Yee, you fucking bastard!"
我早饭还没吃个。,I've yet to eat my breakfast.
他一边吃晚饭一边看电视。,"As he ate his dinner, he watched television."
我要向你学习。,I want to learn from you.
我想多学习些这个主题。,I want to learn more about this subject.
学习雷锋好榜样。,Follow the good example of Lei Feng.
他的车撞上了巴士。,His car collided with the bus.
我男朋友真的是太棒啦。,My boyfriend is really awesome.
我女朋友嫌弃我胖。,My girlfriend doesn't like me being overweight.
做我的女朋友啦乎！,Be my girlfriend!
北京怎么去？,How do you get to Beijing?
「动人」用英文怎么说？,How do you say dòngrén in English?
这是怎么回事呀？,How did this happen?
怎么会这样呢？,How could that be?
他今天怎么没来上学？,How come he didn't come to school today?
你怎么花了那么长时间啊？,Why did it take you so long?
我是怎么跟你说的？,What did I tell you?
闭嘴，我怎么说你就怎么办！,Shut up and do what I say!
我的女儿现在三岁，还都不怎么会写字。,My daughter is just three years old and cannot write anything very well.
我很喜欢唱歌，但是我还不怎么会唱。,"I love singing, but I'm not very good at it."
我现在还不怎么会打网球，但是在老师的教导下，一定能提高我的水平！,"I'm not that great at tennis now, but I will definitely improve under my teacher's guidance!"
你怎么了？,(“In what way did you go?”) What happened to you?
我怎么你了？,(“What in a specific way did I do to you?”) What did I do to you?
恭喜发财，红包拿来！,(a cheeky request for a red packet of lucky money)
我最喜欢的成语是「画蛇添足」。,"My favourite chengyu is ""huàshétiānzú""."
打电话给他看看。,Try calling him.
从这次经历中我收获了很多。,I gained a lot from this experience.
贵公司今年有很大收获。,This year your company made considerable progress.
失事原因不明。,The cause of the crash is not known.
物价又上涨了。,Prices have gone up again.
禁止张贴广告。,No posters.
我们肯定是没有钱做什么广告了。,We definitely wouldn't have money for advertising.
植树造林，绿化祖国。,Plant trees and grow forests to green the motherland.
选择你所在的地区。,Choose your located country.
您是否需要我为您转接到大使馆？,Do you need me to transfer you to the embassy?
他的心里很矛盾。,He is feeling really conflicted.
影印机卡纸了！,The photocopier has a paper jam!
后来的事我就不太清楚了。,I am not too clear about what happened afterwards.
我以为你不会走。,I thought you wouldn't leave.
十六年来，国民党自己违背了这个声明，以致造成今天这样国难深重的局面。,For sixteen years the Kuomintang has violated this declaration and as a result it has created the present grave national crisis.
秋七月，有虹见于玉堂；五原山岸，尽皆崩裂。,"In autumn during the seventh lunar month, a rainbow was seen in the imperial palace; in the side of a mountain in Wuyuan, a huge rift was created (as the result of an earthquake)."
从老人一直到小孩无不欢欣鼓舞。,Everyone from the elderly to the children rejoiced.
我那师父呼风唤雨，只在翻掌之间；指水为油，点石成金，却如转身之易。,"My teacher had supernatural powers; in a flip of a hand and a turn of a body, he could turn water into oil, and stone into gold."
内中还有一个道士，官封引化真人，能呼风唤雨，驾雾腾云。,"There is also a Taoist priest among them, who was enfeoffed Yinhua Zhenren; he could summon the wind and rain, and could ride the mist and clouds."
令人各以白土，书「甲子」二字于家中大门上。,"He ordered (his followers) to use chalk to write ""a new beginning"" on the outer doors of their homes."
小孩子家家的，大人说话插什么嘴！,Children like you have no business interrupting the talk of adults!
龙王问道：「你这秀才姓甚名谁？何方人氏？因甚到此，被人打死？」,
我当时听你的了，才有今天呀。,"If it weren't for you, I wouldn't be where I am today."
他的人物画在当时可谓登峰造极。,His painting of people attained a level never known before.
这是当时坐月子落下的病根。,This symptom is caused by the previous improper postpartum care that she received.
给我一个就好了。,One will do.
这是一个美丽的错误。,This is a beautiful mistake.
它们都是一个样儿。,They are all of the same type.
人丑就该多读书。,Ugly people should read more books.
他是咱们村里读书最多的人。,He has read the most books out of anyone in our village.
她来中国读书。,She came to China to study.
我的孩子正在小学读书。,My child is currently in primary school.
阁下如此宏材大略，不出来做点事情实在可惜！,
这个青年人我见过，他有常人不及的气质。,"This young person, who I have seen before, has an aura that cannot be matched by ordinary people."
当日有效。,Valid only on day of issue.
你怎么过来的？」「我骑车子过来的。,‘How did you get here?’ ‘I got here by bike.’
将军骑马显得多么威风啊！,The general riding a horse looks so majestic!
人心生一念，天地尽皆知。,
两军协力去进攻敌人。,The two armies joined forces to attack the enemy.
真的如此吗？,Is that so?
但愿这场闹剧很快收场。,I hope this farce ends soon.
客人来了。,The guest is here.
来客人了。,An (unexpected) guest is here.
他居然没有给客人准备烟、酒、饮料、糖、瓜子或茶叶。,"Unexpectedly, he hadn't prepared cigarettes, liquor or other beverages, sweets, melon seeds, or tea for the guests."
刊行以来，这本书在港、台及世界各地的华人中始终拥有广大的读者群。,"Since publication, this book has acquired a large readership in Taiwan, Hong Kong and Chinese communities the world over."
张飞造丈八点钢矛。,"Zhang Fei designed a 1.8 zhang lance, the tip of which was refined steel."
酒仙交市隐，女侠是文人。,"I, the drunkard, have befriended the town's hidden one; you, lady hero, are a woman of letters!"
大头大头，下雨不愁。人家有伞，你有大头。,"Big head, big head, when it rains you're not worried it's said. Others have umbrellas, you have a big head. (A child might use this jingle to make fun of another child with an unusually large head.)"
那您对当下的局势有什么看法？,So what do you think of the current situation?
皇上亲自送出城外，携着手走了十几步。,
新出毛瓜已有运到，但数量并不多，昨天只有二、三百斤上市。,
出便好大风。,It's very windy outside.
火焰从火中喷射出来。,Flames jetted from the fire.
杀到天明，张梁、张宝引败残军士，夺路而走。,"The battle continued until dawn. Zhang Liang and Zhang Bao, with a group of flying rebels, found a way of escape."
众鸟同枝宿，天明各自飞。人生亦如此，何必泪沾衣。,"A flock of birds sleep on the same branch, but dawn breaks and they fly away on their own. Life is like this; why should your tears wet my robes?"
你是我唯一的希望。,You are my only hope.
我看不到希望，找不到出路。,I can't see any hope — and I can't find a way out.
希望你明天能来。,I hope you can come tomorrow.
希望没有让您等太久。,I hope I didn't make you wait too long.
希望你一切都好。,Wish you all the best.
希望你能早点好。,Get well soon.
届时该区附近将会悬挂红旗指示，各界人士切勿进入区内，以免发生危险。,"At that time, those places will have red flags nearby erected to act as a signal, everybody please do not enter into the zone, lest any danger happen."
我们今天必须庆祝一下，喝点酒。,We must celebrate today and have a drink.
子治世之能臣，乱世之奸雄也。,You'll be an able minister in peace and a wily hero in chaos.
有些病况起因很明显，但治愈却很费时。,"The causes of some conditions are obvious, yet time-consuming to cure."
这正是我要问的。,That is exactly what I'd like to ask.
布曰：「兄醉矣。先父弃世多年，安得与兄相会？」,"Bu said, ""You're drunk! My father passed away many years ago, how could you meet with him?"""
策曰：「父尸在彼，安得回乡！」,"Ce said, ""How can I ever return home, when my father's body is here!"""
世上只有妈妈好，没妈的孩子像根草。,"Only mom is the best in the whole world, a child with no mother is like a blade of grass."
果糖在体内分解会产生尿酸。,The breakdown of fructose in the body produces uric acid.
本书所收的故事，一部分早在一九六八年就出了单行本。,"Of the stories collected in this book, some of them were published as a tankobon as early as 1968."
外面一直在闪电。,There have been incessant flashes of lightning outside.
出便仲闪紧电。,There is still lightning outside.
那些愚民，一个个信了。,
自此以后，只称我为齐天大圣，不许再称大王。,"From now on, address me only as the Great Sage, Equal to Heaven, and the title Great King will no longer be permitted."
一般各有职业，那有工夫造反？,
老师不在，你们就造反啦！,"If the teacher wasn't here, you'd all just mess around!"
明日舟到，一同上岸，拜见丈母诸亲。,
然后收拾行李，预备到码头上岸。,
我们的原则是党指挥枪，而决不容许枪指挥党。,"Our principle is that the Party commands the gun, and the gun must never be allowed to command the Party."
你相信上帝吗？,Do you believe in God?
我相信明天会好起来的。,I believe tomorrow will be better.
首先看到的是泰晤士河的出海口。,The first thing (I/we) saw was the estuary of Thames.
一路走来肯定不容易。,The journey must have been difficult.
三人郁郁不乐，上街闲行，正值郎中张钧车到。,"The three of them were depressed, and were wandering aimlessly about the streets of town, when commander Zhang Jun's chariot arrived."
你放学之后通常有什么活动？,What activities do you have after school?
之后便会有人通知你聚会的时间和地点。,You will be notified afterwards about the location and time of the meeting.
接着，在一九七一年，全书十四篇以「台北人」的统称问世。,"Following this in 1971, the complete book of fourteen stories was published under the collective title of ""Taipei People""."
主仆一路说着，不觉已过了海甸。,
他丝毫不肯让步。,He won't make the slightest concession.
除了他以外，谁也不肯去。,"Except for him, nobody else is willing to go."
忽听一片声打的门响，许多人乱嚷。,
我明天要去邮局给你寄信。,I want to go to the post office tomorrow to send you a letter.
园子里面顶着篮子卖烧饼油条的有一二十个，都是为那不吃饭来的人买了充饥的。,
我很可怜他。,I feel sorry for him.
可怜行色可怜身，可怜门前访可怜。可怜此意传可怜，可怜能知可怜心。,"With a pitiable gait, my pitiable self calls for Garyeon in front of her door. I convey to her my pitiable intention; surely she'll understand my pitiable heart."
我需要有人在我旁边帮我打下手。,I need someone by my side to help me.
我不知道如何下手。,I don't know how to go about it.
来到此处，东也无人，西也无人，这里不下手，等甚么？我随身带的有绳子。,"Arriving at this place, there's no one east and west, if we don't strike here, what are we waiting for? I have on me some rope."
来到此处，东也无人，西也无人，这里不下手，等什么？我随身带的有绳子。,"Arriving at this place, there's no one east and west, if we don't strike here, what are we waiting for? I have on me some rope."
父母恩情比天大。,Parental affection knows no bounds.
我父母三年前分居了。,My parents separated three years ago.
为什么我的父母从来不为我考虑？,Why don't mum and dad ever take me into consideration?
我们要保持深度自省。,We should keep on examining ourselves critically.
该血样来源不明。,The source of the blood sample is unknown.
电脑中病毒了。,The computer is infected with a virus.
我吃了其余的食物。,I ate the rest of the food.
其余的人都走了。,Everybody else had left.
多余的话不必多说。,There is no need to say more than what is necessary.
若不斩草除根，必为丧身之本。,"If you don't nip this in the bud, it will eventually be the death of you."
这个酒店很卫生。,This hotel is very hygienic.
皇上龙体违和，正需要静养。恳请皇太后垂帘听政，以安天下人心！,"His Majesty's imperial body is unwell and now needs a rest. We humbly beg Empress Dowager to rule the empire from behind the curtain, so as to pacify public sentiment throughout this realm under heaven!"
请您自行斟酌。,Please think about this carefully by yourself.
这是啥玩意儿，我可不认识。你们争竞吧，别找我评理儿！,I don't know what this thingamajig is. I'll leave y'all to dispute; don't approach me for judgement!
外面刮着风。,It's windy outside / The wind is blowing outside.
我被锁在门外面了。,I was locked out.
好了好了，咱们快进屋说吧，外面多冷啊。,"All right, all right, let's go inside and talk, it's so cold outside."
他生得很聪明。,He is very smart.
但接着就有流言，说她们是受人利用的。,"But then came rumours, claiming that they were tools of other people."
老王啊，这可不行！,"Old Wang, this won't do!"
恐怕搬家是万万不行的。,"Unfortunately, moving is out of the question."
视频在网络流传。,The video circulated on the Internet.
这通常是所谓的「历史」或「再生为本」的造型。,"This is typically called ""history"" or ""regenerative based"" modelling."
他们不只谈话，还喊叫大笑。,They not only talked but also shouted and laughed.
他已不爱你，何必呢？,"He doesn't love you anymore, so what's the point?"
要想外出度假时，宠物会成为牵累。,Pets can be a burden when you want to go away on holiday.
从今天起他就成为总经理了。,He became the general manager from today on.
要是你没有能力，纵然你再有势力，名气再大，也完成不了这个任务。,"If you don't have the ability, even if you have power and fame you'll still be unable to complete this task."
你喜欢玩儿什么游戏？,What games do you like playing?
晚会非常火爆。,The party was in full swing.
她是晚会上的不速之客。,She was an uninvited guest at the party.
这四种职业很危险，胆子小的人，根本干不了。,These four occupations are very dangerous and not for the faint-hearted.
不要为了迎合别人而改变自己。,Don't change yourself just to suit others.
我这次是专为了别他而来的。,This time I had come solely for the sake of saying goodbye.
这些日子，家中光景很是惨淡，一半为了丧事，一半为了父亲赋闲。,"Owing to grandma's funeral and father's unemployment, our family was then in reduced circumstances."
新生陆续来报到。,New students are arriving one after another to register.
我已经习惯了作为唯一一个小不点坐在一桌大人中间。,I was accustomed to being the only child at a table full of adults.
请出示你的出入证。,Please present your pass.
请出示登机牌和身份证件。,Please show your boarding pass and ID.
辛丑年红贼据京城，王移福州。,"In the sinchuk year [1361], the Red Bandits occupied the capital [of Korea]; the king fled to Bokju."
美国公民，且在我的县外服现役的美国军人或商船船员的合格配偶或被抚养人。,A U.S. citizen and an eligible spouse or dependent of a member of the Uniformed Services or Merchant Marine on active duty outside my county.
法国在美国有多少领事馆？,How many consulates does France have in the US?
馒头冷的，要蒸才子好吃。,"The bread is cold, it will taste good only if you steam it."
老师，我有一个疑虑，想请教您。,"Teacher, I have a misgiving that I would like to ask you about."
在没有开会之前，我想请教几个问题。,I would like to ask a few questions before the meeting begins.
这是为着你家己好。,It's for your own good.
为着欲出国读册，伊准备争取奖学金。,He was going for a scholarship in order to go abroad.
还缺两张分头钞票。,Still missing two cent notes.
病人家属在吗？,Is the patient's family here?
我中午有个约会。,I have a date at noon.
法西斯主义是人类的敌人。,Fascism is the enemy of humanity.
我先洗个澡。,I'm just gonna take a shower.
这就是问题的所在。,This is exactly where the problem lies.
不敢拜问尊官尊姓大名？因甚降临这乡僻所在？,
你下来吧。,Come down.
轰隆一声巨响，房子倒塌下来。,The house collapsed with a thundering sound.
这个习俗被一代一代地传下去。,This custom was passed down from one generation to another.
约会定于下午3点。,The appointment is at 3 p.m.
昨天下午她在什么地方？,Where was she yesterday afternoon?
她每周两个下午学习艺术。,She studies art two afternoons a week.
今天下午我心情太激动了，莫非是我病了吗？,I've been way too nervous this afternoon. Am I sick?
王小姐来了。,Miss Wang is here. / Miss Wang is coming.
帐务由心细的李小姐经手，绝对不会出错。,The accounting is carefully handled by Miss Li; absolutely no mistakes are made.
你辛苦了！,Thanks for your trouble!
辛苦大家了！,"Thanks, everyone, for your trouble!"
这需要数分钟。,This requires several minutes.
我需要一位口译员。,I need an interpreter.
她要求他们为她破个例。,She asked them to make an exception for her.
他的工作要求他全国四处跑。,His work required him to move about the country.
也许你想我的时候我也在想你。,Maybe when you're thinking of me I'll be thinking of you too.
从哪儿着手却是一个问题。,Where to start is indeed a problem.
我今仔日艰苦，无去上课。,I was sick today and I did not attend class.
我看不到你。,I can't see you.
左海虽僻，国亦千乘；罗丽虽俭，民多美俗。,"Though Korea is remote, it is still a kingdom [lit. state of one thousand chariots]; though Silla and Goryeo were modest of means, their people had many good customs."
你不要吵醒他，你让他多睡一会儿。,Don't wake him up — let him sleep a little longer.
小朋友，多吃一点。,"Child, have some more to eat."
他受一点挫折就垂头丧气了。,He became frustrated after experiencing a little setback.
我一点儿都不紧张。,I'm not nervous at all.
我跟你一块去干活。,I will go to work with you.
我们想到一块了。,We had the same thought.
下跪何人？报上名来。,Who is kneeling down [before me]? Declare [your] name to [me].
我喜欢跟我弟弟一起去图书馆。,I like to go to the library with my little brother.
一起强盗，一起分脏。一起杀人，一起推详。,
时间会证明一切。,Time will tell.
一切都是暂时的。,Everything is temporary.
一切听你的！,Anything you say!
废除一切不平等条约！,Abrogate all unequal treaties!
善的力量能化解一切。,The power of compassion can resolve everything.
忙碌能使她忘掉一切。,Being busy helps her forget everything.
他打了我一下。,He hit me once.
语速上尽量慢一些。,Speak as slowly as possible.
一直向北走。,Keep going north.
我一直很头痛这个事。,I have long been annoyed with this.
我一直待在北京，没出过国。,"I stayed in Beijing the entire time, and never left the country."
看来她应该有五六个月的身子了。,It looks like she's already been pregnant for five to six months.
安全责任重于泰山。,Responsibility in safety is the most important.
不就是他吗？,Is it not him?
正在维修。,Under repair.
正在检修，请您稍候。,Maintenance in progress – please wait.
有的人真有福气。,Some people have a lot of good fortune.
冬天的时候这个地区有时候很冷。,This region is sometimes very cold during the winter.
有些是红色的，有些是黄色的。,"Some are red, and some are yellow."
双方合作互动，效果良好。,The two parties worked well together.
服食这药也有增强免疫力的作用。,Taking this drug also has the effect of strengthening immunity.
我终于遇到知音了。,I finally found someone who truly understands me.
老板不愿意增加店员。,The boss is unwilling to increase the number of employees.
对于他的观点我无法并且不愿意去评论。,I am unable and unwilling to comment on his views.
王小姐，早晨。,"Good morning, Miss Wong."
这句话应该怎样理解呢？,How should we understand this sentence?
芬兰是怎样的一个国家？,What sort of country is Finland?
这领衫欲卖千二，你看怎样？,"This dress costs 1200, what do you think?"
我在这里接触了这么多的新鲜事物，我真是大开眼界。,I have come into contact with so many new things here — it's been really eye-opening.
这次考试不及格对他的打击很大。,Failing the exam this time was a great blow to his confidence.
我们两个人倒替着照顾孩子吧。,Let's take turns looking after the child.
我们应该继承这些传统。,We should carry on these traditions.
这么多人！,So many people!
都这么晚了！,Is that the time?
那就这么定了。,That's settled then.
有些人不是这么想。,Some people don't think so.
这样做不行。,You can't do it like this.
不能这样！,[You] mustn't do it like this!
是这样啊。,I see.
你怎么喝成这样啊？,How did you drink yourself into this state?
没有一个人真正过爱他，他也没有真正爱过任何人。,No one has ever really loved him and he has never really loved anyone either.
上门提亲，穿戴一定要整齐，要有礼貌。,"When you visit to propose marriage, you must dress neatly and be polite."
回答正确。,Your answer is correct.
这样做是正确的。,This is the correct thing to do.
尼泊尔位于中国和印度之间。,Nepal is situated between China and India.
这两个之间到底有什么样的区别？,What is the difference between these two?
珍惜生命，拒绝毒品。,"Cherish life, say no to drugs."
你着什么急啊？,What are you worried about?
我觉得很着急，我该怎么办啊？,I feel worried. What should I do?
投资总是有风险因素。,There is always an element of risk when making an investment.
你的朋友总是说脏话。,Your friend always uses foul language.
本部刻正办理采购作业。,Our ministry is handling the procurement.
混乱的街头就是这么混乱，二话不说掏出真理就开干！,
她的狗死后，我们尽力安慰她。,We tried to console her when her dog died.
有他在这儿真是一个巨大的安慰。,It was a great comfort to have him here.
这些话让她心里感到很安慰。,These words made her feel very much at ease.
云长义气深重，必不肯降。,Yunchang's sense of right is too solid to surrender.
主公欲取天下，何惜一马？,"Your Excellency wants to win the world, why begrudge a mere horse?"
这是国民党一个绝大的错误，我们希望它在抗日的洗礼中改正这个错误。,"This is a gross blunder, which we hope the Kuomintang will correct in the cleansing flames of the anti-Japanese war."
按照常情，子女应该孝敬和赡养老人。,"According to common sense, children should respect and support the elderly."
